name,age,email,phone,city,state,pincode,orders,order_id,last_order_date,total_spend,customer_type,customer_tenure_days,order_year,order_month,order_day,total_spend_normalized
SWATHI,48,swathi152@gmail.com,9782876962,Secunderabad,Telangana,509006,91,ORD1152,2024-12-01,45500,REGULAR,388,2024,12,Sunday,0.602739726
SWATHI,20,swathi116@gmail.com,9932694792,Vijayawada,Andhra Pradesh,511509,8,ORD1116,2024-11-27,4000,REGULAR,392,2024,11,Wednesday,0.0342465753
KARTHIK,40,karthik151@gmail.com,9295495613,Vizag,Telangana,504610,125,ORD1151,2024-11-22,62500,LOYAL,397,2024,11,Friday,0.8356164384
TEJA,31,teja123@gmail.com,9424217185,Secunderabad,Telangana,508932,13,ORD1123,2024-11-17,6500,REGULAR,402,2024,11,Sunday,0.0684931507
NAVEEN,18,naveen54@gmail.com,9807353576,Hyderabad,Andhra Pradesh,528564,101,ORD1054,2024-11-16,50500,LOYAL,403,2024,11,Saturday,0.6712328767
NITHIN,32,nithin30@gmail.com,9780821133,Guntur,Andhra Pradesh,502044,39,ORD1030,2024-11-15,19500,REGULAR,404,2024,11,Friday,0.24657534250000002
ARJUN,37,arjun77@gmail.com,9889274213,Warangal,Andhra Pradesh,514880,41,ORD1077,2024-11-14,20500,REGULAR,405,2024,11,Thursday,0.2602739726
NAVEEN,25,naveen168@gmail.com,9307485064,Hyderabad,Andhra Pradesh,516116,134,ORD1168,2024-11-11,67000,LOYAL,408,2024,11,Monday,0.8972602740000001
RAHUL,32,rahul31@gmail.com,9736865007,Vijayawada,Telangana,525205,139,ORD1031,2024-11-07,69500,LOYAL,412,2024,11,Thursday,0.9315068493
PRIYA,21,priya156@gmail.com,9857360934,Secunderabad,Telangana,511433,149,ORD1156,2024-11-06,74500,LOYAL,413,2024,11,Wednesday,1.0
MOUNIKA,43,mounika88@gmail.com,9806837106,Secunderabad,Andhra Pradesh,516868,127,ORD1088,2024-11-05,63500,LOYAL,414,2024,11,Tuesday,0.8493150685
KARTHIK,25,karthik149@gmail.com,9145176342,Guntur,Andhra Pradesh,505243,109,ORD1149,2024-11-05,54500,LOYAL,414,2024,11,Tuesday,0.7260273973
NEHA,27,neha103@gmail.com,9205239070,Warangal,Telangana,511015,129,ORD1103,2024-11-03,64500,LOYAL,416,2024,11,Sunday,0.8630136986
VAMSHI,26,vamshi76@gmail.com,9909670911,Secunderabad,Telangana,506821,127,ORD1076,2024-11-01,63500,LOYAL,418,2024,11,Friday,0.8493150685
POOJA,27,pooja150@gmail.com,9210630369,Vizag,Telangana,528664,81,ORD1150,2024-10-30,40500,REGULAR,420,2024,10,Wednesday,0.5342465753
UNKNOWN,32,rahul11@gmail.com,9455339935,Vizag,Telangana,500364,17,ORD1011,2024-10-28,8500,REGULAR,422,2024,10,Monday,0.09589041100000001
CHANDANA,39,chandana198@gmail.com,9764532660,Guntur,Andhra Pradesh,516050,85,ORD1198,2024-10-27,42500,REGULAR,423,2024,10,Sunday,0.5616438356
CHANDANA,32,chandana29@gmail.com,9890403870,Warangal,Andhra Pradesh,512170,19,ORD1029,2024-10-25,9500,REGULAR,425,2024,10,Friday,0.1095890411
KARTHIK,32,karthik128@gmail.com,9251696502,Secunderabad,Andhra Pradesh,512293,93,ORD1128,2024-10-23,46500,REGULAR,427,2024,10,Wednesday,0.6164383562
DIVYA,20,divya115@gmail.com,9238735910,Guntur,Telangana,504646,111,ORD1115,2024-10-22,55500,LOYAL,428,2024,10,Tuesday,0.7397260274
SANJANA,39,sanjana137@gmail.com,9526713116,Secunderabad,Telangana,514233,39,ORD1137,2024-10-18,19500,REGULAR,432,2024,10,Friday,0.24657534250000002
UNKNOWN,19,ravi0@gmail.com,9621837388,Warangal,Telangana,500001,95,ORD1000,2024-10-15,47500,REGULAR,435,2024,10,Tuesday,0.6301369863
SURESH,42,suresh91@gmail.com,9210382514,Vizag,Andhra Pradesh,504392,29,ORD1091,2024-10-14,14500,REGULAR,436,2024,10,Monday,0.1780821918
MOUNIKA,35,mounika82@gmail.com,9830521258,Vizag,Telangana,518495,109,ORD1082,2024-10-11,54500,LOYAL,439,2024,10,Friday,0.7260273973
UNKNOWN,32,neha13@gmail.com,9803153676,Guntur,Andhra Pradesh,500571,91,ORD1013,2024-10-09,45500,REGULAR,441,2024,10,Wednesday,0.602739726
SRAVANI,33,sravani184@gmail.com,9551683511,Hyderabad,Andhra Pradesh,519475,143,ORD1184,2024-10-08,71500,LOYAL,442,2024,10,Tuesday,0.9589041096
GOUTHAM,20,goutham78@gmail.com,9919639533,Guntur,Telangana,529597,13,ORD1078,2024-10-07,6500,REGULAR,443,2024,10,Monday,0.0684931507
DIVYA,34,divya56@gmail.com,9393218002,Warangal,Andhra Pradesh,508307,147,ORD1056,2024-10-06,73500,LOYAL,444,2024,10,Sunday,0.9863013699000001
MOUNIKA,32,mounika182@gmail.com,9649537891,Guntur,Telangana,508490,19,ORD1182,2024-10-06,9500,REGULAR,444,2024,10,Sunday,0.1095890411
CHANDANA,20,chandana72@gmail.com,9994917625,Hyderabad,Andhra Pradesh,501623,60,ORD1072,2024-09-30,30000,REGULAR,450,2024,9,Monday,0.3904109589
UNKNOWN,32,arjun9@gmail.com,9643371432,Secunderabad,Telangana,517424,125,ORD1009,2024-09-25,62500,LOYAL,455,2024,9,Wednesday,0.8356164384
UNKNOWN,32,swathi14@gmail.com,9782907815,Secunderabad,Andhra Pradesh,528821,79,ORD1014,2024-09-23,39500,REGULAR,457,2024,9,Monday,0.5205479452
SNEHA,33,sneha79@gmail.com,9160407334,Secunderabad,Telangana,525060,76,ORD1079,2024-09-23,38000,REGULAR,457,2024,9,Monday,0.5
NEHA,32,neha25@gmail.com,9679925420,Vizag,Telangana,506017,15,ORD1025,2024-09-23,7500,REGULAR,457,2024,9,Monday,0.0821917808
POOJA,18,pooja147@gmail.com,9603430610,Warangal,Telangana,527571,122,ORD1147,2024-09-22,61000,LOYAL,458,2024,9,Sunday,0.8150684932000001
TEJA,48,teja73@gmail.com,9688681149,Vizag,Telangana,525769,122,ORD1073,2024-09-21,61000,LOYAL,459,2024,9,Saturday,0.8150684932000001
KARTHIK,18,karthik46@gmail.com,9810640824,Vijayawada,Andhra Pradesh,528906,3,ORD1046,2024-09-20,1500,REGULAR,460,2024,9,Friday,0.0
HARINI,25,harini106@gmail.com,9329751788,Vizag,Telangana,529323,6,ORD1106,2024-09-18,3000,REGULAR,462,2024,9,Wednesday,0.0205479452
HARINI,28,harini19@gmail.com,9286594699,Vizag,Telangana,506823,84,ORD1019,2024-09-17,42000,REGULAR,463,2024,9,Tuesday,0.5547945205
RAHUL,40,rahul113@gmail.com,9491337837,Hyderabad,Andhra Pradesh,507848,31,ORD1113,2024-09-15,15500,REGULAR,465,2024,9,Sunday,0.1917808219
GOUTHAM,39,goutham185@gmail.com,9533139340,Warangal,Andhra Pradesh,512772,51,ORD1185,2024-09-14,25500,REGULAR,466,2024,9,Saturday,0.3287671233
DIVYA,47,divya145@gmail.com,9322218630,Warangal,Andhra Pradesh,522648,104,ORD1145,2024-09-11,52000,LOYAL,469,2024,9,Wednesday,0.6917808219
GOUTHAM,46,goutham80@gmail.com,9854493010,Secunderabad,Telangana,509223,138,ORD1080,2024-09-09,69000,LOYAL,471,2024,9,Monday,0.9246575342000001
VAMSHI,28,vamshi75@gmail.com,9569472564,Vijayawada,Andhra Pradesh,504187,106,ORD1075,2024-09-07,53000,LOYAL,473,2024,9,Saturday,0.7054794521000001
SNEHA,31,sneha86@gmail.com,9120859080,Secunderabad,Andhra Pradesh,524912,136,ORD1086,2024-09-06,68000,LOYAL,474,2024,9,Friday,0.9109589041
LAVANYA,40,lavanya53@gmail.com,9509341106,Hyderabad,Telangana,522079,32,ORD1053,2024-09-03,16000,REGULAR,477,2024,9,Tuesday,0.198630137
ANUSHA,31,anusha83@gmail.com,9128253052,Guntur,Telangana,524868,148,ORD1083,2024-09-01,74000,LOYAL,479,2024,9,Sunday,0.9931506849
MAHESH,41,mahesh174@gmail.com,9202037018,Warangal,Telangana,504133,106,ORD1174,2024-09-01,53000,LOYAL,479,2024,9,Sunday,0.7054794521000001
DEEPAK,47,deepak109@gmail.com,9466772079,Warangal,Telangana,521972,20,ORD1109,2024-08-31,10000,REGULAR,480,2024,8,Saturday,0.11643835620000001
NEHA,45,neha148@gmail.com,9438789455,Warangal,Andhra Pradesh,518597,91,ORD1148,2024-08-28,45500,REGULAR,483,2024,8,Wednesday,0.602739726
NEHA,47,neha60@gmail.com,9221970553,Hyderabad,Telangana,516179,92,ORD1060,2024-08-27,46000,REGULAR,484,2024,8,Tuesday,0.6095890411
NEHA,18,neha96@gmail.com,9414219185,Warangal,Telangana,511777,50,ORD1096,2024-08-25,25000,REGULAR,486,2024,8,Sunday,0.3219178082
TARUN,18,tarun187@gmail.com,9953494017,Secunderabad,Telangana,511800,3,ORD1187,2024-08-24,1500,REGULAR,487,2024,8,Saturday,0.0
VISHAL,42,vishal62@gmail.com,9835080067,Guntur,Telangana,511894,48,ORD1062,2024-08-22,24000,REGULAR,489,2024,8,Thursday,0.3082191781
PRIYA,24,priya87@gmail.com,9536952246,Warangal,Andhra Pradesh,514254,10,ORD1087,2024-08-22,5000,REGULAR,489,2024,8,Thursday,0.047945205500000004
TARUN,32,tarun153@gmail.com,9810887746,Hyderabad,Andhra Pradesh,503930,121,ORD1153,2024-08-18,60500,LOYAL,493,2024,8,Sunday,0.8082191781
VAMSHI,45,vamshi67@gmail.com,9999420661,Warangal,Telangana,522782,134,ORD1067,2024-08-17,67000,LOYAL,494,2024,8,Saturday,0.8972602740000001
MAHESH,26,mahesh178@gmail.com,9110127480,Hyderabad,Telangana,520912,101,ORD1178,2024-08-17,50500,LOYAL,494,2024,8,Saturday,0.6712328767
SRAVANI,45,sravani107@gmail.com,9922840432,Vizag,Telangana,506558,141,ORD1107,2024-08-16,70500,LOYAL,495,2024,8,Friday,0.9452054795
GOUTHAM,41,goutham161@gmail.com,9212000370,Vizag,Telangana,528804,97,ORD1161,2024-08-15,48500,REGULAR,496,2024,8,Thursday,0.6438356164
SWATHI,47,swathi92@gmail.com,9960858110,Secunderabad,Telangana,518821,122,ORD1092,2024-08-15,61000,LOYAL,496,2024,8,Thursday,0.8150684932000001
ARJUN,28,arjun140@gmail.com,9712264420,Hyderabad,Telangana,507518,88,ORD1140,2024-08-11,44000,REGULAR,500,2024,8,Sunday,0.5821917808
PRIYA,38,priya120@gmail.com,9481794956,Hyderabad,Telangana,529307,100,ORD1120,2024-08-08,50000,REGULAR,503,2024,8,Thursday,0.6643835616
SNEHA,20,sneha196@gmail.com,9126890753,Secunderabad,Telangana,514299,78,ORD1196,2024-08-07,39000,REGULAR,504,2024,8,Wednesday,0.5136986301
ANUSHA,46,anusha144@gmail.com,9755064522,Guntur,Andhra Pradesh,518562,52,ORD1144,2024-08-06,26000,REGULAR,505,2024,8,Tuesday,0.3356164384
PRIYA,44,priya190@gmail.com,9961834284,Secunderabad,Telangana,503617,7,ORD1190,2024-08-06,3500,REGULAR,505,2024,8,Tuesday,0.0273972603
HARINI,49,harini71@gmail.com,9990590263,Secunderabad,Andhra Pradesh,506219,114,ORD1071,2024-08-02,57000,LOYAL,509,2024,8,Friday,0.7602739726000001
KIRAN,24,kiran134@gmail.com,9733320239,Hyderabad,Andhra Pradesh,511285,149,ORD1134,2024-07-28,74500,LOYAL,514,2024,7,Sunday,1.0
HARSHA,42,harsha133@gmail.com,9244649504,Secunderabad,Telangana,524817,135,ORD1133,2024-07-28,67500,LOYAL,514,2024,7,Sunday,0.904109589
PRIYA,38,priya18@gmail.com,9675445367,Warangal,Telangana,528554,142,ORD1018,2024-07-25,71000,LOYAL,517,2024,7,Thursday,0.9520547945000001
UNKNOWN,32,divya12@gmail.com,9513680688,Vizag,Telangana,520071,110,ORD1012,2024-07-22,55000,LOYAL,520,2024,7,Monday,0.7328767123000001
RAVI,46,ravi63@gmail.com,9668716517,Hyderabad,Andhra Pradesh,519767,67,ORD1063,2024-07-19,33500,REGULAR,523,2024,7,Friday,0.4383561644
DIVYA,25,divya132@gmail.com,9235995942,Secunderabad,Telangana,505312,52,ORD1132,2024-07-18,26000,REGULAR,524,2024,7,Thursday,0.3356164384
SURESH,22,suresh166@gmail.com,9133737669,Secunderabad,Andhra Pradesh,519757,130,ORD1166,2024-07-18,65000,LOYAL,524,2024,7,Thursday,0.8698630137000001
UNKNOWN,32,varun2@gmail.com,9654059319,Hyderabad,Andhra Pradesh,504124,84,ORD1002,2024-07-17,42000,REGULAR,525,2024,7,Wednesday,0.5547945205
ANUSHA,32,anusha21@gmail.com,9170996812,Vizag,Andhra Pradesh,521306,93,ORD1021,2024-07-16,46500,REGULAR,526,2024,7,Tuesday,0.6164383562
VISHAL,43,vishal110@gmail.com,9638834356,Vijayawada,Telangana,524412,79,ORD1110,2024-07-15,39500,REGULAR,527,2024,7,Monday,0.5205479452
HARINI,20,harini112@gmail.com,9388639940,Vijayawada,Telangana,510880,103,ORD1112,2024-07-12,51500,LOYAL,530,2024,7,Friday,0.6849315068
NAVEEN,32,naveen32@gmail.com,9409397182,Guntur,Telangana,512804,65,ORD1032,2024-07-11,32500,REGULAR,531,2024,7,Thursday,0.4246575342
RAHUL,23,rahul121@gmail.com,9932936190,Vijayawada,Andhra Pradesh,513639,117,ORD1121,2024-07-10,58500,LOYAL,532,2024,7,Wednesday,0.7808219178
ANUSHA,28,anusha38@gmail.com,9824597487,Guntur,Telangana,509276,46,ORD1038,2024-07-09,23000,REGULAR,533,2024,7,Tuesday,0.2945205479
DIVYA,18,divya100@gmail.com,9778916788,Hyderabad,Telangana,502133,74,ORD1100,2024-07-08,37000,REGULAR,534,2024,7,Monday,0.4863013699
VAMSHI,41,vamshi192@gmail.com,9515658567,Vizag,Telangana,519276,29,ORD1192,2024-07-05,14500,REGULAR,537,2024,7,Friday,0.1780821918
DIVYA,24,divya90@gmail.com,9986084545,Vijayawada,Telangana,503106,27,ORD1090,2024-07-05,13500,REGULAR,537,2024,7,Friday,0.1643835616
HARINI,23,harini169@gmail.com,9800609530,Guntur,Telangana,511663,4,ORD1169,2024-06-29,2000,REGULAR,543,2024,6,Saturday,0.0068493151
VAMSHI,31,vamshi197@gmail.com,9247527613,Secunderabad,Andhra Pradesh,527100,127,ORD1197,2024-06-29,63500,LOYAL,543,2024,6,Saturday,0.8493150685
LAVANYA,30,lavanya163@gmail.com,9609221552,Warangal,Andhra Pradesh,524973,135,ORD1163,2024-06-22,67500,LOYAL,550,2024,6,Saturday,0.904109589
NEHA,36,neha131@gmail.com,9742667651,Vizag,Telangana,519006,118,ORD1131,2024-06-22,59000,LOYAL,550,2024,6,Saturday,0.7876712329000001
SURESH,34,suresh89@gmail.com,9240164636,Vizag,Andhra Pradesh,500507,147,ORD1089,2024-06-22,73500,LOYAL,550,2024,6,Saturday,0.9863013699000001
DEEPAK,35,deepak93@gmail.com,9658986801,Vijayawada,Andhra Pradesh,510018,116,ORD1093,2024-06-22,58000,LOYAL,550,2024,6,Saturday,0.7739726027
RAHUL,40,rahul64@gmail.com,9521319673,Secunderabad,Andhra Pradesh,508037,42,ORD1064,2024-06-18,21000,REGULAR,554,2024,6,Tuesday,0.2671232877
VISHAL,34,vishal105@gmail.com,9280853357,Guntur,Andhra Pradesh,529001,47,ORD1105,2024-06-15,23500,REGULAR,557,2024,6,Saturday,0.301369863
MOUNIKA,43,mounika135@gmail.com,9231066038,Vijayawada,Andhra Pradesh,500788,22,ORD1135,2024-06-13,11000,REGULAR,559,2024,6,Thursday,0.1301369863
ANUSHA,25,anusha70@gmail.com,9652409815,Vijayawada,Telangana,519535,115,ORD1070,2024-06-12,57500,LOYAL,560,2024,6,Wednesday,0.7671232877
SRAVANI,25,sravani157@gmail.com,9404688830,Secunderabad,Telangana,510070,80,ORD1157,2024-06-11,40000,REGULAR,561,2024,6,Tuesday,0.5273972603
GOUTHAM,46,goutham16@gmail.com,9125418706,Guntur,Andhra Pradesh,528079,145,ORD1016,2024-06-06,72500,LOYAL,566,2024,6,Thursday,0.9726027397
NEHA,27,neha98@gmail.com,9933386316,Warangal,Andhra Pradesh,501642,22,ORD1098,2024-05-30,11000,REGULAR,573,2024,5,Thursday,0.1301369863
POOJA,48,pooja84@gmail.com,9819855239,Hyderabad,Andhra Pradesh,512815,44,ORD1084,2024-05-28,22000,REGULAR,575,2024,5,Tuesday,0.2808219178
SRAVANI,20,sravani180@gmail.com,9928934804,Secunderabad,Telangana,508623,19,ORD1180,2024-05-27,9500,REGULAR,576,2024,5,Monday,0.1095890411
SWATHI,27,swathi117@gmail.com,9132209873,Secunderabad,Andhra Pradesh,500971,103,ORD1117,2024-05-26,51500,LOYAL,577,2024,5,Sunday,0.6849315068
UNKNOWN,32,karthik6@gmail.com,9958680606,Secunderabad,Andhra Pradesh,510978,122,ORD1006,2024-05-26,61000,LOYAL,577,2024,5,Sunday,0.8150684932000001
HARINI,42,harini101@gmail.com,9278513117,Vijayawada,Andhra Pradesh,502042,43,ORD1101,2024-05-25,21500,REGULAR,578,2024,5,Saturday,0.2739726027
SWATHI,49,swathi159@gmail.com,9405323728,Vijayawada,Telangana,518539,40,ORD1159,2024-05-24,20000,REGULAR,579,2024,5,Friday,0.2534246575
VARUN,20,varun114@gmail.com,9169448319,Vizag,Telangana,528609,43,ORD1114,2024-05-23,21500,REGULAR,580,2024,5,Thursday,0.2739726027
HARSHA,46,harsha20@gmail.com,9609087607,Warangal,Andhra Pradesh,514112,140,ORD1020,2024-05-20,70000,LOYAL,583,2024,5,Monday,0.9383561644
MAHESH,39,mahesh171@gmail.com,9963189818,Warangal,Telangana,500642,66,ORD1171,2024-05-10,33000,REGULAR,593,2024,5,Friday,0.4315068493
VISHAL,32,vishal28@gmail.com,9832832698,Vizag,Telangana,524745,18,ORD1028,2024-05-09,9000,REGULAR,594,2024,5,Thursday,0.102739726
VAMSHI,41,vamshi50@gmail.com,9367271258,Guntur,Andhra Pradesh,529033,127,ORD1050,2024-05-09,63500,LOYAL,594,2024,5,Thursday,0.8493150685
DIVYA,39,divya136@gmail.com,9818476028,Vizag,Andhra Pradesh,516115,121,ORD1136,2024-05-08,60500,LOYAL,595,2024,5,Wednesday,0.8082191781
TEJA,25,teja85@gmail.com,9891054436,Secunderabad,Andhra Pradesh,514144,129,ORD1085,2024-05-05,64500,LOYAL,598,2024,5,Sunday,0.8630136986
KARTHIK,31,karthik61@gmail.com,9412056656,Vizag,Andhra Pradesh,519997,149,ORD1061,2024-05-04,74500,LOYAL,599,2024,5,Saturday,1.0
TEJA,24,teja188@gmail.com,9295118990,Secunderabad,Andhra Pradesh,515242,48,ORD1188,2024-05-03,24000,REGULAR,600,2024,5,Friday,0.3082191781
SNEHA,29,sneha129@gmail.com,9734749862,Warangal,Andhra Pradesh,504029,29,ORD1129,2024-05-02,14500,REGULAR,601,2024,5,Thursday,0.1780821918
SWATHI,38,swathi176@gmail.com,9528812174,Secunderabad,Andhra Pradesh,521718,65,ORD1176,2024-04-27,32500,REGULAR,606,2024,4,Saturday,0.4246575342
SRAVANI,25,sravani141@gmail.com,9453632875,Vijayawada,Telangana,510114,18,ORD1141,2024-04-25,9000,REGULAR,608,2024,4,Thursday,0.102739726
CHANDANA,32,chandana34@gmail.com,9463314574,Secunderabad,Telangana,513304,34,ORD1034,2024-04-22,17000,REGULAR,611,2024,4,Monday,0.2123287671
KIRAN,44,kiran158@gmail.com,9899592030,Vizag,Telangana,508717,23,ORD1158,2024-04-20,11500,REGULAR,613,2024,4,Saturday,0.1369863014
SNEHA,29,sneha181@gmail.com,9754437566,Hyderabad,Andhra Pradesh,504294,134,ORD1181,2024-04-15,67000,LOYAL,618,2024,4,Monday,0.8972602740000001
TEJA,26,teja193@gmail.com,9719529849,Vijayawada,Telangana,505587,7,ORD1193,2024-04-13,3500,REGULAR,620,2024,4,Saturday,0.0273972603
VARUN,30,varun65@gmail.com,9532057993,Warangal,Andhra Pradesh,518500,98,ORD1065,2024-04-12,49000,REGULAR,621,2024,4,Friday,0.6506849315000001
GOUTHAM,19,goutham55@gmail.com,9143390780,Vizag,Telangana,518641,27,ORD1055,2024-04-10,13500,REGULAR,623,2024,4,Wednesday,0.1643835616
PRIYA,34,priya195@gmail.com,9102521083,Warangal,Telangana,500154,65,ORD1195,2024-04-07,32500,REGULAR,626,2024,4,Sunday,0.4246575342
UNKNOWN,32,ravi4@gmail.com,9234842773,Guntur,Telangana,505414,17,ORD1004,2024-04-06,8500,REGULAR,627,2024,4,Saturday,0.09589041100000001
HARINI,27,harini45@gmail.com,9235401672,Secunderabad,Andhra Pradesh,526133,13,ORD1045,2024-04-05,6500,REGULAR,628,2024,4,Friday,0.0684931507
LAVANYA,21,lavanya81@gmail.com,9276318748,Vijayawada,Telangana,505831,102,ORD1081,2024-04-04,51000,LOYAL,629,2024,4,Thursday,0.6780821918000001
SWATHI,30,swathi130@gmail.com,9774751260,Secunderabad,Telangana,527311,73,ORD1130,2024-03-31,36500,REGULAR,633,2024,3,Sunday,0.4794520548
TARUN,28,tarun142@gmail.com,9432528655,Secunderabad,Telangana,524072,111,ORD1142,2024-03-30,55500,LOYAL,634,2024,3,Saturday,0.7397260274
VAMSHI,25,vamshi37@gmail.com,9833524778,Vizag,Andhra Pradesh,519395,115,ORD1037,2024-03-28,57500,LOYAL,636,2024,3,Thursday,0.7671232877
KARTHIK,47,karthik111@gmail.com,9169045476,Vijayawada,Andhra Pradesh,506863,3,ORD1111,2024-03-28,1500,REGULAR,636,2024,3,Thursday,0.0
MAHESH,24,mahesh36@gmail.com,9289541306,Vizag,Telangana,529336,9,ORD1036,2024-03-25,4500,REGULAR,639,2024,3,Monday,0.0410958904
KARTHIK,26,karthik51@gmail.com,9255532306,Secunderabad,Andhra Pradesh,521335,70,ORD1051,2024-03-23,35000,REGULAR,641,2024,3,Saturday,0.4589041096
DIVYA,37,divya17@gmail.com,9413256523,Guntur,Telangana,529905,93,ORD1017,2024-03-22,46500,REGULAR,642,2024,3,Friday,0.6164383562
SANJANA,32,sanjana23@gmail.com,9730002786,Warangal,Andhra Pradesh,519852,144,ORD1023,2024-03-20,72000,LOYAL,644,2024,3,Wednesday,0.9657534247
TEJA,44,teja102@gmail.com,9814188708,Vizag,Andhra Pradesh,507555,43,ORD1102,2024-03-19,21500,REGULAR,645,2024,3,Tuesday,0.2739726027
DIVYA,42,divya118@gmail.com,9811793389,Hyderabad,Telangana,508648,63,ORD1118,2024-03-16,31500,REGULAR,648,2024,3,Saturday,0.4109589041
KIRAN,27,kiran39@gmail.com,9934763421,Vizag,Telangana,514780,51,ORD1039,2024-03-14,25500,REGULAR,650,2024,3,Thursday,0.3287671233
ANUSHA,34,anusha47@gmail.com,9866192879,Secunderabad,Andhra Pradesh,505470,10,ORD1047,2024-03-13,5000,REGULAR,651,2024,3,Wednesday,0.047945205500000004
DIVYA,22,divya175@gmail.com,9288240546,Vizag,Telangana,512629,117,ORD1175,2024-03-12,58500,LOYAL,652,2024,3,Tuesday,0.7808219178
KIRAN,32,kiran22@gmail.com,9318675260,Vizag,Andhra Pradesh,500093,63,ORD1022,2024-03-11,31500,REGULAR,653,2024,3,Monday,0.4109589041
POOJA,32,pooja164@gmail.com,9656327266,Vizag,Andhra Pradesh,508845,8,ORD1164,2024-03-10,4000,REGULAR,654,2024,3,Sunday,0.0342465753
SRAVANI,31,sravani127@gmail.com,9978892045,Vijayawada,Andhra Pradesh,505326,99,ORD1127,2024-03-08,49500,REGULAR,656,2024,3,Friday,0.6575342466
SWATHI,25,swathi124@gmail.com,9322385992,Secunderabad,Telangana,526330,89,ORD1124,2024-03-08,44500,REGULAR,656,2024,3,Friday,0.5890410959
TARUN,49,tarun186@gmail.com,9402509969,Guntur,Andhra Pradesh,500669,95,ORD1186,2024-03-07,47500,REGULAR,657,2024,3,Thursday,0.6301369863
TARUN,30,tarun66@gmail.com,9329489225,Hyderabad,Andhra Pradesh,520238,145,ORD1066,2024-03-07,72500,LOYAL,657,2024,3,Thursday,0.9726027397
DIVYA,23,divya68@gmail.com,9740063139,Guntur,Telangana,501227,77,ORD1068,2024-03-04,38500,REGULAR,660,2024,3,Monday,0.5068493151
HARINI,45,harini69@gmail.com,9327811201,Warangal,Andhra Pradesh,516351,79,ORD1069,2024-03-03,39500,REGULAR,661,2024,3,Sunday,0.5205479452
RAHUL,38,rahul172@gmail.com,9703424357,Secunderabad,Telangana,509619,81,ORD1172,2024-02-28,40500,REGULAR,665,2024,2,Wednesday,0.5342465753
